"app","bc","ug"
2543,"CO_09.1","NA_BG"
2543,"CS_03.4.3","NA_BG"
2543,"CS_03.9.1","NA_BG"
1002555,"CO_09.1","NA_BG"
2563,"CO_03.5","NA_BG"
2563,"CS_03.1.6","NA_BG"
2567,"CS_03.5.4","NA_BG"
2567,"CS_03.5.6","NA_BG"
2567,"EN_3.7","NA_BG"
2571,"EN_5.4","NA_BG"
2577,"CS_03.1.3","NA_BG"
2577,"CS_03.1.4","NA_BG"
2577,"CS_03.3.4","NA_BG"
2577,"CS_03.3.6","NA_BG"
2579,"CO_08.3","NA_BG"
2587,"CO_05.2","NA_BG"
2587,"CS_03.1.3","NA_BG"
2587,"EN_3.2","NA_BG"
2589,"CO_08.8","NA_BG"
2589,"CS_03.6.1","NA_BG"
2589,"CS_03.6.2","NA_BG"
2589,"CS_03.6.3","NA_BG"
2591,"CO_08.4","NA_BG"
2591,"CO_08.5","NA_BG"
2599,"CS_03.4.4","NA_BG"
2599,"CS_03.7.3","NA_BG"
2605,"CS_03.8.1","NA_BG"
2605,"CS_03.8.2","NA_BG"
2605,"CS_03.8.7","NA_BG"
2613,"CS_03.8.4","NA_BG"
2613,"CS_03.8.5","NA_BG"
2619,"CS_03.5.1","NA_BG"
2619,"CS_03.5.2","NA_BG"
2623,"CS_03.5.6","NA_BG"
2623,"CS_03.8.1","NA_BG"
2623,"CS_03.8.3","NA_BG"
2623,"CS_03.8.4","NA_BG"
2633,"CS_03.4.4","NA_BG"
2639,"CS_03.1.4","NA_BG"
2639,"CS_03.2.5","NA_BG"
2651,"CS_03.1.3","NA_BG"
2651,"CS_03.1.4","NA_BG"
2651,"CS_03.3.4","NA_BG"
1002665,"CO_07.3","NA_BG"
2701,"CO_06.6","NA_BG"
2855,"CO_09.1","NA_BG"
2855,"EN_5.5","NA_BG"
2857,"CO_03.3","NA_BG"
2857,"CS_03.5.1","NA_BG"
2863,"CS_03.1.3","NA_BG"
2863,"EN_3.1","NA_BG"
2863,"EN_5.5","NA_BG"
2891,"EN_5.7","NA_BG"
2903,"EN_4.1","NA_BG"
2929,"CO_03.3","NA_BG"
2929,"CS_03.6.5","NA_BG"
2929,"EN_5.7","NA_BG"
2971,"EN_2.1","NA_BG"
3291,"CO_03.3","NA_BG"
3291,"EN_5.9","NA_BG"
3337,"CO_06.4","NA_BG"
3349,"CO_08.8","NA_BG"
3371,"EN_5.5","NA_BG"
3529,"CO_04.6","NA_BG"
3529,"CO_04.7","NA_BG"
3743,"EN_1.3","NA_BG"
3743,"EN_5.5","NA_BG"
3751,"EN_2.3","NA_BG"
4345,"EN_1.3","NA_BG"
4395,"CS_03.5.1","NA_BG"
